event_time,hostname,parser,message,source,file_name,prefetch_ctime,prefetch_mtime,prefetch_size,prefetch_hash,prefetch_version,prefetch_file,prefetch_count
2025-10-19T21:48:29.4156107Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): DLLHOST.EXE Prefetch run count 12,C:\Windows\Prefetch\DLLHOST.EXE-B51A0D95.pf,DLLHOST.EXE,2025-10-19T21:48:29.4156107Z,2025-11-07T13:22:11.9412771Z,29852,0XB51A0D95,Win11 (31),DLLHOST.EXE-B51A0D95.pf,12
2025-10-19T21:48:31.7481715Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): VDS.EXE Prefetch run count 12,C:\Windows\Prefetch\VDS.EXE-F11BF333.pf,VDS.EXE,2025-10-19T21:48:31.7481715Z,2026-03-11T07:35:56.8593724Z,51686,0XF11BF333,Win11 (31),VDS.EXE-F11BF333.pf,12
2025-10-19T21:48:31.7501785Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 34,C:\Windows\Prefetch\SVCHOST.EXE-D7C16AC0.pf,SVCHOST.EXE,2025-10-19T21:48:31.7501785Z,2026-03-11T21:21:46.0177017Z,21070,0XD7C16AC0,Win11 (31),SVCHOST.EXE-D7C16AC0.pf,34
2025-10-19T21:48:32.5546736Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): LOGONUI.EXE Prefetch run count 17,C:\Windows\Prefetch\LOGONUI.EXE-E35F76FB.pf,LOGONUI.EXE,2025-10-19T21:48:32.5546736Z,2026-03-11T21:21:57.4040595Z,180744,0XE35F76FB,Win11 (31),LOGONUI.EXE-E35F76FB.pf,17
2025-10-19T21:48:33.2899151Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 1088,C:\Windows\Prefetch\SVCHOST.EXE-874EA4F5.pf,SVCHOST.EXE,2025-10-19T21:48:33.2899151Z,2026-03-12T06:10:30.3326463Z,80414,0X874EA4F5,Win11 (31),SVCHOST.EXE-874EA4F5.pf,1088
2025-10-19T21:48:35.9906371Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): VDSLDR.EXE Prefetch run count 10,C:\Windows\Prefetch\VDSLDR.EXE-35269815.pf,VDSLDR.EXE,2025-10-19T21:48:35.9906371Z,2026-03-11T07:35:56.8495789Z,26532,0X35269815,Win11 (31),VDSLDR.EXE-35269815.pf,10
2025-10-19T21:48:37.0349914Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): DLLHOST.EXE Prefetch run count 22,C:\Windows\Prefetch\DLLHOST.EXE-E5221F10.pf,DLLHOST.EXE,2025-10-19T21:48:37.0349914Z,2026-03-11T21:22:09.7577215Z,31490,0XE5221F10,Win11 (31),DLLHOST.EXE-E5221F10.pf,22
2025-10-19T21:48:37.750267Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 47,C:\Windows\Prefetch\SVCHOST.EXE-06DB112E.pf,SVCHOST.EXE,2025-10-19T21:48:37.750267Z,2026-03-11T07:14:08.6677035Z,36538,0X6DB112E,Win11 (31),SVCHOST.EXE-06DB112E.pf,47
2025-10-19T21:48:54Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: NETSH.EXE Prefetch run count 7,C:\Windows\Prefetch\NETSH.EXE-355423B0.pf,NETSH.EXE,2025-10-19T21:48:56.8531237Z,2026-01-28T09:35:38.4482976Z,106000,0X355423B0,Win11 (31),NETSH.EXE-355423B0.pf,7
2025-10-19T21:48:56.8531237Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): NETSH.EXE Prefetch run count 7,C:\Windows\Prefetch\NETSH.EXE-355423B0.pf,NETSH.EXE,2025-10-19T21:48:56.8531237Z,2026-01-28T09:35:38.4482976Z,106000,0X355423B0,Win11 (31),NETSH.EXE-355423B0.pf,7
